,,,,,,PASSING,,RUSH..,,,RECEIVING,,,DEFENSE,,,,
30,Dwayne Bowe,KC,WR,16,0,0,0,4,0,72,1162,15,0,0,0,0,12.9,206.6
31,Mark Sanchez,NYJ,QB,16,3291,17,13,105,3,0,0,0,0,0,0,0,12.6,202.14
32,Roddy White,ATL,WR,16,0,0,0,3,0,115,1389,10,0,0,1,0,12.6,201.2
33,Maurice Jones-Drew,JAX,RB,14,0,0,1,1324,5,34,317,2,0,0,0,0,14.3,200.1
34,Ryan Fitzpatrick,BUF,QB,13,3000,23,15,271,0,0,0,0,0,0,0,0,15.3,199.1
35,Greg Jennings,GB,WR,16,0,0,0,-1,0,76,1265,12,0,0,0,0,12.4,198.4
36,Steven Jackson,LAR,RB,16,0,0,0,1241,6,46,383,0,0,0,0,0,12.3,196.4
37,Ahmad Bradshaw,NYG,RB,16,0,0,0,1235,8,47,314,0,0,0,1,0,12.1,192.9
38,Sam Bradford,LAR,QB,16,3512,18,15,63,1,0,0,0,0,0,0,0,11.9,190.78
39,Mike Wallace,PIT,WR,16,0,0,0,39,0,60,1257,10,0,0,0,0,11.8,189.6
40,Calvin Johnson,DET,WR,15,0,0,0,32,0,77,1120,12,0,0,0,0,12.6,189.2
41,BenJarvus Green-Ellis,NE,RB,16,0,0,0,1008,13,12,85,0,0,0,0,0,11.7,187.3
42,New England Patriots,NE,DST,16,0,0,0,0,0,0,0,0,35,25,11,13,11.7,187
43,Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,48,20,24,14,11.6,185
44,Jerod Mayo,NE,ILB,16,0,0,0,0,0,0,0,0,2,0,2,3,11.2,179.9
45,Green Bay Packers,GB,DST,16,0,0,0,0,0,0,0,0,47,24,14,8,11.1,177
46,James Harrison,PIT,LB,16,0,0,0,0,0,0,0,0,11,1,6,1,11,176
47,Donovan McNabb,WAS,QB,13,3377,14,15,151,0,0,0,0,0,0,0,0,13.4,174.18
48,Hakeem Nicks,NYG,WR,13,0,0,0,0,0,79,1052,11,0,0,0,0,13.2,171.2
49,Andre Johnson,HOU,WR,13,0,0,0,10,0,86,1216,8,0,0,0,0,13.1,170.6
50,Reggie Wayne,IND,WR,16,0,0,0,0,0,111,1355,6,0,0,0,0,10.6,169.5
,,,,,,,,,,,,,,,,326,,
,,,,,,,,,,,,,,,,310.32,,
,,,,,,,,,,,,,,,,304.48,,
,,,,,,,,,,,,,,,,299,,
,,,,,,,,,,,,,,,,285.8,,
,,,,,,,,,,,,,,,,281.6,,
,,,,,,,,,,,,,,,,269.2,,
,,,,,,,,,,,,,,,,258.44,,
,,,,,,,,,,,,,,,,252.4,,
,,,,,,,,,,,,,,,,245.56,,
,,,,,,,,,,,,,,,,239.9,,
,,,,,,,,,,,,,,,,237.5,,
,,,,,,,,,,,,,,,,233.92,,
,,,,,,,,,,,,,,,,231.28,,
,,,,,,,,,,,,,,,,231.08,,
,,,,,,,,,,,,,,,,229.14,,
,,,,,,,,,,,,,,,,228.9,,
,,,,,,,,,,,,,,,,223.8,,
,,,,,,,,,,,,,,,,221.26,,
,,,,,,,,,,,,,,,,220.4,,
,,,,,,,,,,,,,,,,219.2,,
,,,,,,,,,,,,,,,,218.1,,
,,,,,,,,,,,,,,,,213.9,,
,,,,,,,,,,,,,,,,213.6,,
,,,,,,,,,,,,,,,,213.6,,
,,,,,,,,,,,,,,,,211.6,,
,,,,,,,,,,,,,,,,210.16,,
,,,,,,,,,,,,,,,,209.88,,
,,,,,,,,,,,,,,,,209,,
,,,,,,,,,,,,,,,,206.6,,
,,,,,,,,,,,,,,,,202.14,,
,,,,,,,,,,,,,,,,201.2,,
,,,,,,,,,,,,,,,,200.1,,
,,,,,,,,,,,,,,,,199.1,,
,,,,,,,,,,,,,,,,198.4,,
,,,,,,,,,,,,,,,,196.4,,
,,,,,,,,,,,,,,,,192.9,,
,,,,,,,,,,,,,,,,190.78,,
,,,,,,,,,,,,,,,,189.6,,
,,,,,,,,,,,,,,,,189.2,,
,,,,,,,,,,,,,,,,187.3,,
,,,,,,,,,,,,,,,,187,,
,,,,,,,,,,,,,,,,185,,
,,,,,,,,,,,,,,,,179.9,,
,,,,,,,,,,,,,,,,177,,
,,,,,,,,,,,,,,,,176,,
,,,,,,,,,,,,,,,,174.18,,
,,,,,,,,,,,,,,,,171.2,,
,,,,,,,,,,,,,,,,170.6,,
,,,,,,,,,,,,,,,,169,,
