,,,,,,PASSING,,RUSH..,,,RECEIVING,,,DEFENSE,,,,
26,Jordy Nelson,GB,WR,16,0,0,0,0,0,98,1519,13,0,0,0,0,14.4,229.9
27,Demaryius Thomas,DEN,WR,16,0,0,0,0,0,111,1619,11,0,0,0,0,14.4,229.9
28,Dez Bryant,DAL,WR,16,0,0,0,0,0,88,1320,16,0,0,0,0,14.2,228
29,Andy Dalton,CIN,QB,16,3398,19,17,169,4,1,18,1,0,0,0,0,14,224.62
30,Alex Smith,KC,QB,15,3265,18,6,254,1,0,0,0,0,0,0,0,14.7,220
31,Jamaal Charles,KC,RB,15,0,0,0,1033,9,40,291,5,0,0,0,0,14,210.4
32,Odell Beckham Jr. IR,NYG,WR,12,0,0,0,35,0,91,1305,12,0,0,0,0,17,204
33,Justin Forsett,BAL,RB,16,0,0,0,1266,8,44,263,0,0,0,0,0,12.7,202.9
34,Randall Cobb IR,GB,WR,16,0,0,0,37,0,91,1287,12,0,0,0,0,12.6,202.4
35,Emmanuel Sanders,DEN,WR,16,0,0,0,44,0,101,1404,9,0,0,0,0,12.6,200.8
36,Julio Jones,ATL,WR,15,0,0,0,1,0,104,1593,6,0,0,0,0,12.9,193.4
37,Jeremy Maclin,PHI,WR,16,0,0,0,0,0,86,1329,10,0,0,0,0,12.1,192.9
38,Derek Carr,LV,QB,16,3270,21,12,87,0,0,0,0,0,0,0,0,12,191.5
39,Lamar Miller,MIA,RB,16,0,0,0,1099,8,38,275,1,0,0,0,0,11.6,185.4
40,Rob Gronkowski,NE,TE,15,0,0,0,0,0,82,1124,12,0,0,0,0,12.3,184.4
41,Jeremy Hill,CIN,RB,16,0,0,0,1124,9,27,215,0,0,0,0,0,11.5,183.9
42,Justin Houston,KC,DE,16,0,0,0,0,0,0,0,0,22,0,4,0,11.4,182.4
43,Ryan Fitzpatrick,HOU,QB,12,2483,17,8,184,2,0,0,0,0,0,0,0,15,179.72
44,Teddy Bridgewater Q,MIN,QB,13,2919,14,12,209,1,0,0,0,0,0,0,0,13.8,179.66
45,CJ Anderson,DEN,RB,15,0,0,0,849,8,34,324,2,0,0,0,0,11.8,177.3
46,Mike Evans,TB,WR,15,0,0,0,0,0,68,1051,12,0,0,0,0,11.8,177.1
47,Philadelphia Eagles,PHI,DST,16,0,0,0,0,0,0,0,0,49,12,24,16,11.1,177
48,Alshon Jeffery,CHI,WR,16,0,0,0,33,0,85,1133,10,0,0,0,0,11,176.6
49,T.Y. Hilton,IND,WR,15,0,0,0,20,0,82,1345,7,0,0,1,0,11.8,176.5
50,Kyle Orton,BUF,QB,12,3018,18,10,14,1,0,0,0,0,0,0,0,14.7,176.12
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,172.1,,
,,,,,,,,,,,,,,,,171.9,,
