,,,,,,PASSING,,RUSH..,,,RECEIVING,,,DEFENSE,,,,
RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Aaron Rodgers,GB,QB,15,4637,45,6,257,3,0,0,0,0,0,0,0,26.5,397.18
2,Drew Brees IR,NO,QB,16,5476,46,14,86,1,0,0,0,0,0,0,0,24.5,391.64
3,Cam Newton,CAR,QB,16,4051,21,17,709,14,1,27,0,0,0,0,0,23.1,369.64
4,Tom Brady,NE,QB,16,5235,39,12,109,3,0,0,0,0,0,0,0,22.9,366.3
5,Matthew Stafford,DET,QB,16,5038,41,16,78,0,0,0,0,0,0,0,0,21.5,343.32
6,Ray Rice,BAL,RB,16,1,1,0,1362,12,76,704,3,0,0,0,0,18.5,296.64
7,LeSean McCoy,PHI,RB,15,0,0,0,1309,17,48,315,3,0,0,0,0,18.7,280.4
8,Eli Manning,NYG,QB,16,4910,29,16,15,1,0,0,0,0,0,0,0,17.5,279.9
9,Tony Romo,DAL,QB,16,4184,31,10,46,1,0,0,0,0,0,0,0,17.2,275.96
10,Matt Ryan,ATL,QB,16,4177,29,12,84,2,0,0,0,0,0,0,0,17.1,273.48
11,Calvin Johnson,DET,WR,16,0,0,0,11,0,96,1681,16,0,0,0,0,16.4,263.2
12,Maurice Jones-Drew,JAX,RB,16,0,0,0,1606,8,43,374,3,0,0,0,0,16.4,262
13,Philip Rivers,LAC,QB,16,4624,27,20,36,1,0,0,0,0,0,0,0,15.9,254.56
14,Arian Foster,HOU,RB,13,0,0,0,1224,10,53,617,2,0,0,0,0,19.2,250.1
15,Rob Gronkowski,NE,TE,16,0,0,0,2,1,90,1327,17,0,0,0,0,15.1,240.9
16,Mark Sanchez,NYJ,QB,16,3474,26,18,103,6,0,0,0,0,0,0,0,14.8,237.26
17,Michael Vick,PHI,QB,13,3303,18,14,590,1,0,0,0,0,0,0,0,17.9,233.12
18,Ryan Fitzpatrick,BUF,QB,16,3832,24,23,208,0,0,0,0,0,0,0,0,13.9,222.08
19,Jordy Nelson,GB,WR,16,0,0,0,0,0,68,1263,15,0,0,0,0,13.5,216.3
20,Ben Roethlisberger P,PIT,QB,15,4077,21,14,70,0,0,0,0,0,0,0,0,14.4,216.08
21,Marshawn Lynch,SEA,RB,15,0,0,0,1204,12,28,212,1,0,0,0,0,14.4,215.6
22,Wes Welker,NE,WR,16,0,0,0,30,0,122,1569,9,0,0,0,0,13.4,213.9
23,Michael Turner,ATL,RB,16,0,0,0,1340,11,17,168,0,0,0,0,0,13.3,212.8
