,,,,,,PASSING,,RUSH..,,,RECEIVING,,,DEFENSE,,,,
RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Lamar Jackson,BAL,QB,15,3127,36,6,1206,7,0,0,0,0,0,0,0,27.7,415.68
2,Christian McCaffrey Q,CAR,RB,16,0,0,0,1387,15,116,1005,4,0,0,0,0,22.2,355.2
3,Dak Prescott IR,DAL,QB,16,4902,30,11,277,3,0,0,0,0,0,0,0,21.1,337.78
4,Russell Wilson,SEA,QB,16,4110,31,5,342,3,0,0,0,0,0,0,0,20.5,328.6
5,Deshaun Watson,HOU,QB,15,3852,26,12,413,7,1,6,1,0,0,0,0,21.3,319.98
6,Jameis Winston,TB,QB,16,5109,33,30,250,1,0,0,0,0,0,0,0,19.1,305.36
7,Josh Allen,BUF,QB,16,3089,20,9,510,9,0,0,0,0,0,0,0,18,288.56
8,Patrick Mahomes,KC,QB,14,4031,26,5,218,2,0,0,0,0,0,0,0,20.5,287.04
9,Kyler Murray,ARI,QB,16,3722,20,12,544,4,0,0,0,0,0,0,0,17.8,285.28
10,Aaron Rodgers,GB,QB,16,4002,26,4,183,1,0,0,0,0,0,0,0,17.4,278.38
11,Derrick Henry,TEN,RB,15,0,0,0,1540,16,18,206,2,0,0,0,0,18.4,276.6
12,Carson Wentz,PHI,QB,16,4039,27,7,243,1,0,0,0,0,0,0,0,17.2,275.86
13,Matt Ryan,ATL,QB,15,4466,26,14,147,1,0,0,0,0,0,0,0,17.8,267.34
14,Aaron Jones,GB,RB,16,0,0,0,1084,16,49,474,3,0,0,0,0,16.6,265.8
15,Tom Brady,NE,QB,16,4057,24,8,34,3,0,0,0,0,0,0,0,16.5,263.68
16,Ezekiel Elliott,DAL,RB,16,0,0,0,1357,12,54,420,2,0,0,0,0,16.1,257.7
17,Jared Goff,LAR,QB,16,4638,22,16,40,2,0,0,0,0,0,0,0,15.5,247.52
18,Jimmy Garoppolo IR,SF,QB,16,3978,27,13,62,1,0,0,0,0,0,0,0,15.5,247.32
19,Kirk Cousins,MIN,QB,15,3603,26,6,63,1,0,0,0,0,0,0,0,16.3,244.42
20,Derek Carr,LV,QB,16,4054,21,8,82,2,0,0,0,0,0,0,0,15.3,244.36
21,Ryan Fitzpatrick,MIA,QB,15,3529,20,13,243,4,0,0,0,0,0,0,0,16.1,241.46
22,Dalvin Cook,MIN,RB,14,0,0,0,1135,13,53,519,0,0,0,0,0,17.1,239.4
23,Philip Rivers,LAC,QB,16,4615,23,20,29,0,0,0,0,0,0,0,0,14.7,235.5
24,Gardner Minshew II,JAX,QB,14,3271,21,6,344,0,0,0,0,0,0,0,0,16.4,229.24
25,Baker Mayfield,CLE,QB,16,3827,22,21,141,3,0,0,0,0,0,0,0,14.3,229.18
26,Michael Thomas,NO,WR,16,0,0,0,-9,0,149,1725,9,0,0,0,0,14.1,225.6
27,Drew Brees IR,NO,QB,11,2979,27,4,-4,1,0,0,0,0,0,0,0,20.4,224.76
28,Ryan Tannehill,TEN,QB,12,2742,22,6,185,4,0,0,0,0,0,0,0,18.7,224.18
29,New England Patriots,NE,DST,16,0,0,0,0,0,0,0,0,47,25,15,11,14,224
30,Nick Chubb,CLE,RB,16,0,0,0,1494,8,36,278,0,0,0,0,0,13.7,219.2
31,Austin Ekeler,LAC,RB,16,0,0,0,557,3,92,993,8,0,0,0,0,13.6,217
32,Jacoby Brissett,IND,QB,15,2942,18,6,228,4,1,2,0,0,0,0,0,14.4,216.68
33,Mark Ingram II,BAL,RB,15,0,0,0,1018,10,26,247,5,0,0,0,0,14.4,216.5
34,Daniel Jones Q,NYG,QB,13,3027,24,12,279,2,0,0,0,0,0,0,0,16.5,214.98
35,Mitchell Trubisky,CHI,QB,15,3138,17,10,193,2,0,0,0,0,0,0,0,13.5,202.82
36,Andy Dalton,CIN,QB,13,3494,16,14,73,4,1,-4,0,0,0,0,0,15.6,202.66
37,Chris Carson,SEA,RB,15,0,0,0,1230,7,37,266,2,0,0,0,0,13,195.6
38,T.J. Watt,PIT,OLB,16,0,0,0,0,0,0,0,0,14.5,2,8,4,12.1,192.9
39,Saquon Barkley IR,NYG,RB,13,0,0,0,1003,6,52,438,2,0,0,0,0,14.8,192.1
40,Joe Mixon IR,CIN,RB,16,0,0,0,1137,5,35,287,3,0,0,0,0,11.9,190.4
41,Chris Godwin,TB,WR,14,0,0,0,8,0,86,1333,9,0,0,0,0,13.6,190.1
42,Sam Darnold,NYJ,QB,13,3024,19,13,62,2,0,0,0,0,0,0,0,14.6,189.16
43,Todd Gurley II,LAR,RB,15,0,0,0,857,12,31,207,2,0,0,0,0,12.6,188.4
44,Shaquil Barrett,TB,OLB,16,0,0,0,0,0,0,0,0,19.5,1,6,0,11.6,186.15
45,Chandler Jones IR,ARI,OLB,15,0,0,0,0,0,0,0,0,19,0,8,3,12.3,184.55
46,Leonard Fournette,JAX,RB,15,0,0,0,1152,3,76,522,0,0,0,0,0,12.2,183.4
47,Kenny Golladay Q,DET,WR,16,0,0,0,0,0,65,1190,11,0,0,0,0,11.4,183
48,Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,54,20,22,18,11.2,180
49,Kyle Allen IR,CAR,QB,13,3322,17,16,106,2,0,0,0,0,0,0,0,13.7,177.48
50,Cooper Kupp,LAR,WR,16,0,0,0,4,0,94,1161,10,0,0,0,0,11,176.5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
